Категория;Товар;Цена;"ID валюты";Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;"Страна производитель";Мощность;"Отвод газов";"Тип розжига";"Производительность ГВС";"Модуляция мощности";"Вес (кг)";"Объем (м3)";"Габариты В.Ш.Г. (мм.)";"Мин. давление газа";Производительность;"Способ установки";"Номинальный объем водонагревателя";"Положение установки";Форма;"Мощность ТЭНа";Гарантия;"Тип нагревательного элемента (ТЭНа)";"Тепловая мощность";"Максимальная температура теплоносителя";"Максимальное рабочее давление";"Опрессовочное давление";"Конструкция радиатора";"Способ подключения";"Кол-во секций в радиаторе";"Объем воды в радиаторе";Возраст;Пол;"Размеры упаковки";Серия;"Размер игрушки";Материал;Комплектация;Диагональ;"Тип экрана";"Разрешение экрана";Система;"Количество ядер";Процессор;"Частота процессора";"Оперативная память";"Встроенная память";"Поддержка SD карт";Sim-карт;"Размеры SIM";"GSM (2G)";3G;"LTE (4G)";WCDMA;"Основная камера";"Фронтальная камера";Вспышка;Bluetooth;GPS;A-GPS;Wi-Fi;"Wi-Fi Hotspot";"ИК порт";"Сканер отпечатков пальцев";Разъемы;Аккумулятор;Размеры;Цвет;"3G (UMTS)";Высота;Диаметр;Ткань;Предназначение;Наполнитель;"Количество наполнителя";"Объемный вес для транспортных компаний";"Производство "
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford Black";1799.00;2;Kreslo_Meshok_L_Oksford_Black;1;1;Puff;;;;3;"Бескаркасное кресло-мешок груша Oksford Black 1799 руб.";"Бескаркасное кресло-мешок груша Oksford Black 1799 руб.";"Бескаркасное кресло-мешок груша Oksford Black 1799 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).";"beskarkasnoe_kreslo_meshok_grusha_ copy 9.jpg, beskarkasnoe_kreslo_meshok_grusha_ copy 459.jpg";"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford Dark Blue";1799.00;2;Kreslo_Meshok_L_Oksford_Dark_Blue;1;1;Puff;;;;3;"Бескаркасное детское кресло-груша мешок Oksford Dark Blue 1799 руб.";"Бескаркасное детское кресло-груша мешок Oksford Dark Blue 1799 руб.";"Бескаркасное детское кресло-груша мешок Oksford Dark Blue 1799 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).";"beskarkasnoe_kreslo_meshok_grusha_ copy 19.jpg";"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford Blue";1799.00;2;Kreslo_Meshok_L_Oksford_Blue;1;;Puff;;;;6;"Бескаркасное детское кресло-мешок Oksford Blue 1799 руб.";"Бескаркасное детское кресло-мешок Oksford Blue 1799 руб.";"Бескаркасное детское кресло-мешок Oksford Blue 1799 руб.";;"<p>Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).</p>";"beskarkasnoe_kreslo_meshok_grusha_ copy 12.jpg";"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford Green";1799.00;2;Kreslo_Meshok_L_Oksford_Green;1;;Puff;;;;44;"Бескаркасное детское кресло-мешок груша Oksford Green 1799 руб.";"Бескаркасное детское кресло-мешок груша Oksford Green 1799 руб.";"Бескаркасное детское кресло-мешок груша Oksford Green 1799 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"<p>Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).</p>";"beskarkasnoe_kreslo_meshok_grusha_ copy 14.jpg";"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford bordo";1799.00;2;Kerslo_Meshok_L_Oksford_Bordo;1;;Puff;;;;45;"Бескаркасное детское кресло-мешок груша Oksford bordo 1799 руб.";"Бескаркасное детское кресло-мешок груша Oksford bordo 1799 руб.";"Бескаркасное детское кресло-мешок груша Oksford bordo 1799 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"<p>Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).</p>";beskarkasnoe_kreslo_meshok_grusha_Oksford_Bordo_4.jpg;"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford Red";1799.00;2;Kreslo_Meshok_L_Oksford_Red;1;;Puff;;;;10;"Бескаркасное детское кресло-мешок груша Oksford Red 1799 руб.";"Бескаркасное детское кресло-мешок груша Oksford Red 1799 руб.";"Бескаркасное детское кресло-мешок груша Oksford Red 1799 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"<p>Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).</p>";"beskarkasnoe_kreslo_meshok_grusha_ copy 3.jpg";"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford Orange";1799.00;2;Kreslo_Meshok_L_Oksford_Orange;1;;Puff;;;;3;"Бескаркасное детское кресло-мешок груша Oksford Orange 1799 руб.";"Бескаркасное детское кресло-мешок груша Oksford Orange 1799 руб.";"Бескаркасное детское кресло-мешок груша Oksford Orange 1799 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"<p>Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).</p>";"beskarkasnoe_kreslo_meshok_grusha_ copy 8_9.jpg";"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford Lime";1799.00;2;Kreslo_Meshok_L_Oksford_Lime;1;0;Puff;;;;3;"Бескаркасное кресло-мешок груша Oksford Lime 1799 руб.";"Бескаркасное кресло-мешок груша Oksford Lime 1799 руб.";"Бескаркасное кресло-мешок груша Oksford Lime 1799 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).";"beskarkasnoe_kreslo_meshok_grusha_ copy 46_2.jpg";"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Oksford Yellow";1799.00;2;Kreslo_Meshok_L_Oksford_Yellow;1;;Puff;;;;3;"Бескаркасное детское кресло мешок груша Oksford Yellow 1799 руб.";"Бескаркасное детское кресло мешок груша Oksford Yellow 1799 руб.";"Бескаркасное детское кресло мешок груша Oksford Yellow 1799 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"<p>Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).</p>";"beskarkasnoe_kreslo_meshok_grusha_ copy 7.jpg";"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";"оксфорд (плащевая ткань)";"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
"Мебель для дома/Кресло мешок";"Кресло мешок груша L Blue Velvet";3499.00;2;Kreslo_Meshok_L_Blue_Velvet;1;;Puff;;;;10;"Бескаркасное детское кресло-мешок груша Blue Velvet 3499 руб.";"Бескаркасное детское кресло-мешок груша Blue Velvet 3499 руб.";"Бескаркасное детское кресло-мешок груша Blue Velvet 3499 руб.";"<p><span style=""color: #000000;""><strong>&nbsp;</strong></span></p>";"<p>Давно выяснено, что при оценке дизайна и композиции читаемый текст мешает сосредоточиться. Lorem Ipsum используют потому, что тот обеспечивает более или менее стандартное заполнение шаблона, а также реальное распределение букв и пробелов в абзацах, которое не получается при простой дубликации ""Здесь ваш текст.. Здесь ваш текст.. Здесь ваш текст.."" Многие программы электронной вёрстки и редакторы HTML используют Lorem Ipsum в качестве текста по умолчанию, так что поиск по ключевым словам ""lorem ipsum"" сразу показывает, как много веб-страниц всё ещё дожидаются своего настоящего рождения. За прошедшие годы текст Lorem Ipsum получил много версий. Некоторые версии появились по ошибке, некоторые - намеренно (например, юмористические варианты).</p>";beskarkasnoe_kreslo_meshok_grusha_blue_velvet_1.jpg;"до 4 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 см";"80 см";микро-вельвет;"для детей до 12 лет";"пенополистирол 1-2 мм";"200 литров";"0.25 м3";Россия
