Категория;Товар;Цена;"ID валюты";Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Возраст;Материал;Камера;Габарит
"Детские товары";"Пеленальный столик Cam Nuvola";349.05;2;pelenalnyj-stolik-cam-nuvola;1;;;;;2075759371;10;"Пеленальный столик Cam Nuvola";;;"<p>Пеленальный столик с ванночкой для купания. Система безопасности предотвращающая произвольное складывание. Две полочки для детских вещей. Изделие предназначено для детей от 0 до 12 месяцев. Различная цветовая гамма.</p>";"<p>Пеленальный столик с ванночкой для купания. Система безопасности предотвращающая произвольное складывание. Две полочки для детских вещей. Изделие предназначено для детей от 0 до 12 месяцев. Различная цветовая гамма.</p>";"32-74.jpg, 32-75.jpg, 32-76.jpg, 32-77.jpg";"От рождения";"Пластмасса. ткань";Отсутствует;
"Детские товары";"Детские качели GRACO Swing'n'bounce";498.55;2;detskie-kacheli-graco-swingnbounce;1;1;;;;1309142305;9;"Детские качели GRACO Swing'n'bounce";;;"<p>Уникальная модель 2-в-1: качели + кресло качалка.</p>";"<p>Уникальная модель 2-в-1: качели + кресло качалка. 6 скоростей для использования в качестве качелей. 2 скорости для спокойного покачивания в кресле качалке. 3 положения наклона кресла. Снимаемый подголовник. Движущаяся карусель с 3 плюшевыми игрушками. Электронный блок с музыкой, звуками природы, таймер для автоматического отключения. Цвета: deimos, venus, greta.</p>";"23-47.jpg, 23-48.jpg, 23-49.jpg";"От 3 до 6 лет";"Пластмасса. ткань";"Возможна отдельная установка";
"Детские товары";"Детские качели GRACO Sweetpeace";754.00;2;detskie-kacheli-graco-sweetpeace;1;1;Connect;;;613154813;9;"Детские качели GRACO Sweetpeace";"Детские качели GRACO Sweetpeace, Connect, Детские товары";"Детские качели для детей с рождения.";"<p>Детские качели для детей с рождения.</p>";"<p>Детские качели для детей с рождения. Качели копируют движение при укачивании ребёнка на руках (в трёх разных направлениях), три положения спинки, 6 скоростей, съёмное сидение, набор различных мелодий и возможность подключения МР3 плеера, две скорости вибрации, ремни безопасности, регулируемый капор.</p>";95-172.jpg;"От 3 до 6 лет";"Пластмасса. ткань";"Возможна отдельная установка";
"Детские товары";"Цифровой видеомонитор Philips AVENT SCD60000";758.55;2;tsifrovoj-videomonitor-philips-avent-scd60000;1;0;;;;1095960108;10;"Цифровой видеомонитор Philips AVENT SCD60000";;;"<p>Автоматический выбор канала для конфиденциального соединения.</p>";"<p>Автоматический выбор канала для конфиденциального соединения. Система инфракрасного ночного видения для круглосуточного наблюдения. Успокаивающие колыбельные и ночник. Высокое разрешение, цветной экран 61 мм. Беспроводной портативный родительский блок. Цифровое подтверждение сигнала и световая индикация уровня звука. Автоматическое включение экрана с регуляторами яркости и звука. Родительский блок на аккумуляторах. Диапазон действия: 150 м. Клипса для крепления к поясу.</p>";96-173.jpg;"От рождения";Пластмасса;"12 Мп";
"Детские товары";"Стульчик для кормления Peg-Perego Prima Pappa Best";663.00;2;stulchik-dlya-kormleniya-peg-perego-prima-pappa-best;1;0;;;;1360727340;10;"Стульчик для кормления Peg-Perego Prima Pappa Best";;;"<p>Стульчик раcсчитан на малыша до трех лет.</p>";"<p>Стульчик раcсчитан на малыша до трех лет. Моющееся сидение изготовлено из кожа заменителя, корпус пластмассовый, регулируемая подножка, стопора на колесах, большая устойчивость. Пятиточечные ремни безопасности и анатомическая вставка для разделения ног удерживают ребенка в надежном и безопасном положении.</p>";"97-174.jpg, 97-175.jpg, 97-177.jpg, 97-178.jpg";"От 3 до 6 лет";"Пластмасса. ткань";Отсутствует;
"Женская одежда/Нижнее бельё";"Бюстгальтер Velmont 5104";65.00;2;byustgalter-velmont-5104;1;;Bosch;Белый;;664902047;10;"Бюстгальтер Velmont 5104";"Бюстгальтер Velmont 5104, Bosch, Нижнее бельё";"Бюстгальтер Velmont 5104 привлекает внимание оригинальностью расцветки и отделки.";"<p>Бюстгальтер Velmont 5104 привлекает внимание оригинальностью расцветки и отделки.</p>";"<p>Бюстгальтер Velmont 5104 привлекает внимание оригинальностью расцветки и отделки. Бюстгальтер на регулируемых тонких лямках, глубокая удобная чашка, идеально поддерживающая грудь. Удобен в носке на каждый день, идеально подходит для открытых сарафанов и прозрачных топов.</p>";152-289.jpg;"От 3 до 6 лет";Cloth;no;
"Женская одежда/Нижнее бельё";"Бюстгальтер Velmont 3804";65.00;2;byustgalter-velmont-3804;1;;Connect;Белый;;665360793;0;"Бюстгальтер Velmont 3804";"Бюстгальтер Velmont 3804, Connect, Нижнее бельё";"Бюстгальтер Velmont 3804 &ndash; удобный бюстгальтер на регулируемых тонких лямках.";"<p>Бюстгальтер Velmont 3804 &ndash; удобный бюстгальтер на регулируемых тонких лямках.</p>";"<p>Бюстгальтер Velmont 3804 &ndash; удобный бюстгальтер на регулируемых тонких лямках. Легкая отделка кружевом, четный цвет, он привлекает внимание классической простотой. Удобная, мягкая чашечка идеально поддержит Вашу грудь. Бюстгальтер подходит к носке на каждый день.</p>";153-290.jpg;"От рождения";;;
"Женская одежда/Нижнее бельё";"Бюстгальтер Velmont 3804";65.00;2;byustgalter-velmont-3804;1;;Connect;Черный;;665360792;10;"Бюстгальтер Velmont 3804";"Бюстгальтер Velmont 3804, Connect, Нижнее бельё";"Бюстгальтер Velmont 3804 &ndash; удобный бюстгальтер на регулируемых тонких лямках.";"<p>Бюстгальтер Velmont 3804 &ndash; удобный бюстгальтер на регулируемых тонких лямках.</p>";"<p>Бюстгальтер Velmont 3804 &ndash; удобный бюстгальтер на регулируемых тонких лямках. Легкая отделка кружевом, четный цвет, он привлекает внимание классической простотой. Удобная, мягкая чашечка идеально поддержит Вашу грудь. Бюстгальтер подходит к носке на каждый день.</p>";153-290.jpg;"От рождения";;;
"Женская одежда/Нижнее бельё";"Бюстгальтер Velmont 3404";31.00;2;byustgalter-velmont-3404;1;;;Лиловый;;665098648;10;"Бюстгальтер Velmont 3404";"Бюстгальтер Velmont 3404, Нижнее бельё";"Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки,";"<p>Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки,</p>";"<p>Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки, удобная чашка, кружевная отделка, Ваша грудь будет сексуально выглядеть в этом бюстгальтере. Удобен в носке и подходит как на каждый день, так и под вечернее платье.</p>";150-287.jpg;;;;
"Женская одежда/Нижнее бельё";"Бюстгальтер Velmont 3404";29.00;2;byustgalter-velmont-3404;1;;;Черный;;665098649;0;"Бюстгальтер Velmont 3404";"Бюстгальтер Velmont 3404, Нижнее бельё";"Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки,";"<p>Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки,</p>";"<p>Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки, удобная чашка, кружевная отделка, Ваша грудь будет сексуально выглядеть в этом бюстгальтере. Удобен в носке и подходит как на каждый день, так и под вечернее платье.</p>";150-287.jpg;;;;
